time,latitude,longitude,depth,mag
2023-11-13T00:53:13.890Z,19.3801666666667,-155.241,1.6,1.87
2023-11-13T00:27:45.614Z,61.0299,-151.4424,80.9,1.7
2023-11-13T00:25:37.750Z,64.7016,-149.2641,8.5,1.6
2023-11-13T00:22:18.673Z,65.0349,-146.6128,2,1.6
2023-11-13T00:13:23.917Z,41.87,-126.0856,10,3.9
2023-11-13T00:13:01.570Z,35.6713333,-117.5273333,6.17,0.53
2023-11-13T00:02:17.450Z,19.3818333333333,-155.2805,1.1,1.31
2023-11-12T23:53:19.173Z,60.1904,-152.6563,103.3,1.5
2023-11-12T23:49:11.250Z,38.8330002,-122.817337,1.98,0.74
2023-11-12T23:47:49.966Z,31.742,-104.136,4.8037,1.7
2023-11-12T23:43:43.030Z,19.328,-155.119,6.56,2.12
2023-11-12T23:27:49.850Z,19.3633333333333,-155.295166666667,1.48,0.81
2023-11-12T23:23:23.935Z,60.6888,-150.5967,27.7,1.5
2023-11-12T23:23:12.820Z,34.214,-117.4606667,12.74,1.35
2023-11-12T23:22:17.630Z,38.1461678,-122.4478302,16.88,1.9
2023-11-12T23:21:56.015Z,32.222,-101.997,9.0727,3.4
2023-11-12T23:07:52.970Z,19.394,-155.281,1.33,2.3
2023-11-12T23:04:03.950Z,38.7808342,-122.7241669,1.53,1.05
2023-11-12T23:03:10.937Z,59.0503,-152.7491,58.6,1.9
2023-11-12T22:57:16.453Z,31.621,-103.974,4.8234,1.8
2023-11-12T22:54:26.690Z,31.623,-103.973,4.1531,1.6
2023-11-12T22:53:20.409Z,31.62,-103.966,4.215,1.9
2023-11-12T22:53:18.010Z,19.3906669616699,-155.278503417969,1.83000004291534,1.94
2023-11-12T22:52:14.660Z,31.624,-103.971,4.6152,2.1
2023-11-12T22:51:47.157Z,31.636,-103.989,4.6644,2.1
2023-11-12T22:46:10.393Z,31.627,-103.975,4.7904,1.9
2023-11-12T22:43:22.460Z,38.8201675,-122.793663,2.55,0.78
2023-11-12T22:40:14.690Z,19.3349990844727,-155.299499511719,2.46000003814697,1.96000004
2023-11-12T22:29:22.640Z,33.8538333,-117.8298333,9.18,1.23
2023-11-12T22:28:18.527Z,31.726,-104.591,2.724,1.6
2023-11-12T22:27:37.796Z,62.7014,-149.6629,71.1,1.4
2023-11-12T22:25:15.640Z,18.513,-68.7368,122,4.13
2023-11-12T22:20:33.642Z,31.721,-104.582,3.2706,1.6
